Item Name,Calories,Total Fat (g),Sat. Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Dietary Fiber (g),Sugar (g),Added Sugar (g),Protein (g)
7-Layer Burrito,430,17,6,0,15,"1,000",57,7,4,2,13
Caramel Apple Empanada,280,13,3.5,0,<5,260,38,1,14,0,3
Chili Cheese Burrito (regional),380,17,9,0,40,970,41,4,2,1,15
Cool Ranch® Doritos® Locos Taco,170,9,4,0,25,380,13,3,<1,0,7
Cool Ranch® Doritos® Locos Taco Supreme®,190,11,4.5,0,25,390,15,3,1,0,8
Double Decker® Taco,310,13,5,0,25,700,36,7,2,<1,12
Double Decker® Taco Supreme®,330,14,6,0,25,720,38,7,2,<1,13
Grande Nachos - Beef,"1,120",62,11,0,45,"1,830",115,19,6,<1,26
Grande Nachos - Slow Roasted Chicken,"1,100",59,9,0,65,"1,720",111,17,6,<1,32
Meximelt®,250,13,7,0,40,730,21,3,2,<1,13
Cantina Chicken Bowl,480,24,7,0,75,"1,170",43,10,3,0,24
Cantina Chicken Burrito,540,31,9,0,80,"1,180",42,5,4,2,24
Cantina Chicken Crispy Taco,280,16,6,0,50,530,17,3,<1,0,15
Cantina Chicken Quesadilla,570,32,16,0,90,"1,340",42,4,3,1,29
Cantina Chicken Soft Taco,210,10,3.5,0,35,530,18,2,2,<1,12
Black Bean Chalupa Supreme® (V),340,17,3.5,0,10,460,36,6,4,<1,10
Chalupa Supreme® - Beef,350,20,5,0,25,580,31,4,3,<1,12
Chalupa Supreme® - Chicken,330,17,4,0,35,570,29,3,3,<1,16
Chalupa Supreme® - Steak,340,18,4.5,0,30,590,29,3,4,2,15
Cheesy Gordita Crunch,490,28,11,0,55,850,42,5,4,1,20
Crunchy Taco,170,9,4,0,25,310,13,3,0,0,7
Crunchy Taco Supreme®,190,11,4.5,0,25,320,15,3,1,0,8
Doritos® Cheesy Gordita Crunch - Nacho Cheese,490,28,11,0,55,900,41,5,4,1,20
Double Stacked Taco,320,16,5,0,25,610,34,4,2,<1,10
Nacho Cheese Doritos® Locos Taco,170,10,4,0,25,370,13,3,<1,0,7
Nacho Cheese Doritos® Locos Taco Supreme®,190,11,4.5,0,30,380,15,3,1,0,8
Soft Taco - Beef,180,8,4,0,25,500,18,3,1,<1,9
Soft Taco - Chicken,160,5,2.5,0,35,500,16,1,1,<1,12
Soft Taco Supreme® - Beef,200,10,5,0,25,520,20,3,2,<1,9
Soft Taco Supreme® - Chicken,180,6,3.5,0,40,510,18,2,2,<1,13
Spicy Potato Soft Taco (V),240,12,3,0,10,470,28,2,1,<1,5
Bean Burrito (V),360,10,4.5,0,5,"1,080",54,8,3,2,13
Beefy 5-Layer Burrito,490,18,8,0,30,"1,290",65,7,4,2,17
Black Bean Grilled Cheese Burrito,690,37,14,0,55,"1,390",68,8,5,2,23
Burrito Supreme® - Beef,390,14,7,0,30,"1,160",51,7,4,2,16
Burrito Supreme® - Chicken,370,11,5,0,40,"1,160",49,6,4,2,19
Burrito Supreme® - Steak,380,12,6,0,30,"1,180",49,6,5,3,19
